marka,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
ford, Focus,2018.0,10000.0,Manual,48141.0,Petrol,145.0,61.4,1.0
hyundi, I800,2017.0,14000.0,Automatic,23870.0,Diesel,325.0,33.6,2.5
hyundi, Kona,2019.0,13995.0,Manual,13192.0,Petrol,150.0,44.1,1.0
ford, Fiesta,2018.0,10000.0,Manual,16712.0,Petrol,145.0,65.7,1.0
ford, C-MAX,2015.0,8295.0,Manual,29229.0,Diesel,30.0,61.4,1.6
ford, Focus,2017.0,12120.0,Manual,16853.0,Petrol,145.0,57.7,1.0
vauxhall, Viva,2017.0,5993.0,Manual,8982.0,Petrol,145.0,62.8,1.0
vauxhall, Corsa,2018.0,8599.0,Manual,22766.0,Diesel,145.0,72.4,1.3
merc, CL Class,2017.0,24119.0,Semi-Auto,18692.0,Petrol,200.0,42.2,2.0
vw, Beetle,2013.0,7299.0,Manual,61410.0,Diesel,125.0,57.6,2.0
toyota, Yaris,2017.0,10495.0,Manual,16548.0,Petrol,145.0,58.9,1.5
vauxhall, Insignia,2018.0,12299.0,Manual,36474.0,Diesel,145.0,65.7,1.6
ford, Fiesta,2018.0,11640.0,Manual,7205.0,Petrol,150.0,65.7,1.0
audi, Q2,2019.0,29790.0,Semi-Auto,2611.0,Petrol,145.0,33.2,2.0
ford, Kuga,2017.0,16290.0,Automatic,15344.0,Petrol,235.0,38.2,1.5
unclean focus, Focus,2014.0,7997.0,Manual,42792.0,15,145.0,54.3,1.6
audi, Q2,2019.0,28495.0,Automatic,3381.0,Petrol,145.0,40.9,1.5
bmw, 4 Series,2017.0,18980.0,Semi-Auto,31250.0,Diesel,150.0,65.7,2.0
focus, Focus,2017.0,16492.0,Manual,16449.0,Petrol,145.0,54.3,2.0
ford, S-MAX,2019.0,25995.0,Manual,12369.0,Diesel,145.0,54.3,2.0
unclean cclass, C Class,2019.0,24499.0,Semi-Auto,14525.0,Petrol,145.0,54.3,1.6
ford, Fiesta,2017.0,7480.0,Manual,47959.0,Diesel,0.0,78.5,1.5
vauxhall, Mokka X,2018.0,11720.0,Manual,15437.0,Petrol,145.0,47.1,1.4
toyota, Hilux,2017.0,19350.0,Automatic,20758.0,Diesel,260.0,36.2,2.4
vw, Arteon,2019.0,24990.0,Semi-Auto,5807.0,Diesel,145.0,44.1,2.0
ford, Fiesta,2017.0,13745.0,Manual,11964.0,Petrol,145.0,47.9,1.6
merc, A Class,2018.0,16699.0,Manual,26758.0,Petrol,145.0,51.4,1.6
hyundi, I10,2015.0,5891.0,Manual,23234.0,Petrol,20.0,60.1,1.0
merc, C Class,2014.0,11290.0,Automatic,48000.0,Diesel,145.0,56.5,2.1
merc, SLK,2004.0,4890.0,Automatic,46000.0,Petrol,330.0,28.0,3.5
bmw, 3 Series,2015.0,14800.0,Manual,25481.0,Diesel,30.0,64.2,2.0
vauxhall, Astra,2018.0,12590.0,Manual,25308.0,Diesel,145.0,68.9,1.6
bmw, M4,2016.0,32983.0,Automatic,33113.0,Petrol,300.0,34.0,3.0
vw, Touareg,2016.0,21995.0,Semi-Auto,31713.0,Diesel,240.0,42.8,3.0
merc, C Class,2016.0,16000.0,Automatic,67490.0,Hybrid,0.0,134.5,2.0
vauxhall, Mokka,2015.0,8999.0,Manual,14000.0,Petrol,200.0,40.9,1.6
vauxhall, Astra,2016.0,8800.0,Manual,35201.0,Diesel,20.0,72.4,1.6
ford, Focus,2017.0,19320.0,Manual,11909.0,Petrol,145.0,41.5,2.0
vw, Polo,2017.0,9750.0,Manual,27938.0,Petrol,150.0,58.9,1.0
vauxhall, Astra,2017.0,11990.0,Automatic,20000.0,Petrol,125.0,50.4,1.4
merc, GLC Class,2015.0,22990.0,Semi-Auto,31289.0,Diesel,125.0,56.5,2.1
vw, Golf,2019.0,22950.0,Semi-Auto,6780.0,Petrol,145.0,44.1,1.5
ford, Fiesta,2014.0,6999.0,Manual,50000.0,Petrol,0.0,65.7,1.0
audi, A5,2018.0,29990.0,Semi-Auto,7479.0,Petrol,145.0,36.7,3.0
merc, C Class,2015.0,14698.0,Semi-Auto,43331.0,Diesel,20.0,64.2,2.1
audi, Q3,2014.0,12210.0,Manual,63998.0,Diesel,160.0,50.4,2.0
vauxhall, Crossland X,2017.0,12491.0,Manual,12829.0,Petrol,145.0,57.7,1.2
audi, Q7,2016.0,29498.0,Semi-Auto,36816.0,Diesel,160.0,48.7,3.0
ford, Focus,2017.0,10899.0,Manual,44864.0,Petrol,145.0,60.1,1.0
audi, A6,2016.0,14700.0,Manual,72967.0,Diesel,30.0,61.4,2.0
vauxhall, Astra,2017.0,10498.0,Manual,18286.0,Petrol,145.0,51.4,1.4
merc, M Class,2011.0,10990.0,Automatic,69000.0,Diesel,555.0,32.5,3.0
bmw, X1,2019.0,24712.0,Semi-Auto,9697.0,Petrol,145.0,39.8,1.5
vauxhall, Insignia,2019.0,14998.0,Manual,9795.0,Petrol,145.0,50.4,1.5
merc, A Class,2019.0,23499.0,Semi-Auto,1718.0,Diesel,145.0,67.3,1.5
vauxhall, Mokka X,2017.0,10490.0,Manual,21019.0,Petrol,145.0,47.1,1.4
cclass, C Class,2017.0,24990.0,Automatic,6668.0,Diesel,145.0,54.3,2.1
bmw, 3 Series,2016.0,24495.0,Automatic,45853.0,Diesel,200.0,49.6,3.0
cclass, C Class,2017.0,21498.0,Semi-Auto,20981.0,Diesel,145.0,54.3,2.1
vauxhall, Astra,2016.0,9490.0,Manual,20410.0,Petrol,20.0,64.2,1.0
ford, Fiesta,2017.0,12499.0,Manual,4277.0,Petrol,145.0,62.8,1.0
merc, E Class,2017.0,22350.0,Semi-Auto,14850.0,Diesel,145.0,61.4,2.0
cclass, C Class,2019.0,25699.0,Semi-Auto,13044.0,Diesel,145.0,54.3,2.0
vw, Golf,2019.0,31066.0,Semi-Auto,1863.0,Petrol,145.0,32.8,2.0
ford, Ka+,2018.0,7900.0,Manual,29339.0,Petrol,145.0,57.7,1.2
audi, A1,2016.0,10499.0,Manual,34886.0,Diesel,0.0,76.3,1.6
bmw, 2 Series,2019.0,27995.0,Automatic,110.0,Diesel,145.0,64.2,2.0
merc, C Class,2019.0,20299.0,Semi-Auto,14973.0,Diesel,145.0,61.4,2.0
merc, A Class,2017.0,13990.0,Semi-Auto,17603.0,Petrol,125.0,53.3,1.6
ford, Fiesta,2017.0,9000.0,Manual,31640.0,Diesel,265.0,78.5,1.5
ford, Fiesta,2017.0,9995.0,Manual,11933.0,Petrol,145.0,64.2,1.1
vauxhall, Crossland X,2019.0,12998.0,Manual,13829.0,Petrol,150.0,47.1,1.2
vauxhall, Mokka,2016.0,9360.0,Manual,16518.0,Diesel,30.0,65.7,1.6
toyota, Aygo,2018.0,7995.0,Semi-Auto,4580.0,Petrol,145.0,67.0,1.0
unclean cclass, C Class,2019.0,26699.0,Semi-Auto,10597.0,Petrol,145.0,54.3,1.6
ford, Focus,2018.0,10950.0,Manual,20191.0,Petrol,145.0,61.4,1.0
merc, C Class,2014.0,17330.0,Semi-Auto,32475.0,Diesel,30.0,64.2,2.1
vw, Passat,2019.0,26995.0,Semi-Auto,4991.0,Petrol,145.0,39.2,1.5
merc, C Class,2019.0,25549.0,Semi-Auto,15144.0,Diesel,150.0,61.4,2.0
bmw, X7,2019.0,77880.0,Semi-Auto,6506.0,Diesel,150.0,31.4,3.0
audi, Q5,2017.0,30981.0,Semi-Auto,18331.0,Petrol,145.0,40.4,2.0
merc, GLE Class,2019.0,55599.0,Semi-Auto,1594.0,Diesel,145.0,32.8,2.9
focus, Focus,2015.0,7995.0,Manual,34017.0,Diesel,145.0,54.3,1.6
ford, Kuga,2019.0,19800.0,Manual,1469.0,Petrol,145.0,39.2,1.5
audi, Q3,2019.0,35990.0,Automatic,6675.0,Petrol,145.0,38.2,1.5
audi, Q3,2016.0,15200.0,Automatic,58750.0,Petrol,145.0,47.9,1.4
bmw, 3 Series,2014.0,11999.0,Manual,49969.0,Diesel,30.0,61.4,2.0
merc, E Class,2019.0,24965.0,Automatic,14908.0,Diesel,145.0,72.4,2.0
audi, Q7,2018.0,47995.0,Semi-Auto,8618.0,Diesel,145.0,32.8,3.0
toyota, Yaris,2019.0,11850.0,Manual,5855.0,Petrol,150.0,58.9,1.5
cclass, C Class,2017.0,19280.0,Semi-Auto,43855.0,Diesel,145.0,54.3,2.1
focus, Focus,2019.0,16298.0,Automatic,12029.0,Petrol,145.0,54.3,1.0
merc, V Class,2019.0,42980.0,Semi-Auto,1998.0,Diesel,145.0,37.7,2.0
vauxhall, Astra,2016.0,7699.0,Manual,74495.0,Diesel,20.0,72.4,1.6
ford, Focus,2019.0,14390.0,Manual,10889.0,Petrol,145.0,58.9,1.0
ford, Fiesta,2018.0,10490.0,Manual,30922.0,Petrol,145.0,65.7,1.0
ford, Fiesta,2018.0,9700.0,Manual,6302.0,Petrol,145.0,64.2,1.1
skoda, Octavia,2019.0,17991.0,Automatic,2333.0,Diesel,145.0,54.3,2.0
ford, B-MAX,2018.0,9000.0,Manual,31894.0,Petrol,145.0,55.4,1.0
vw, Tiguan,2015.0,13995.0,Manual,38000.0,Diesel,145.0,53.3,2.0
vw, T-Roc,2018.0,16995.0,Manual,30214.0,Petrol,145.0,55.4,1.0
audi, Q5,2020.0,37495.0,Automatic,7511.0,Petrol,145.0,32.1,2.0
vw, Polo,2016.0,14800.0,Semi-Auto,15500.0,Petrol,125.0,50.4,1.8
skoda, Fabia,2019.0,14499.0,Manual,5000.0,Petrol,150.0,60.1,1.0
skoda, Fabia,2019.0,12250.0,Manual,3138.0,Petrol,145.0,61.4,1.0
hyundi, Santa Fe,2020.0,35995.0,Semi-Auto,1801.0,Diesel,145.0,39.8,2.2
unclean cclass, C Class,2017.0,22767.0,Automatic,30676.0,Diesel,145.0,54.3,2.1
audi, A1,2017.0,13400.0,Semi-Auto,22653.0,Petrol,145.0,64.2,1.0
vauxhall, Astra,2020.0,15650.0,Manual,100.0,Petrol,145.0,54.3,1.2
bmw, 3 Series,2019.0,22998.0,Semi-Auto,6394.0,Diesel,150.0,54.3,2.0
skoda, Fabia,2017.0,10795.0,Manual,15085.0,Petrol,20.0,58.9,1.2
vauxhall, Insignia,2016.0,8599.0,Manual,49078.0,Diesel,20.0,68.9,1.6
vw, Golf,2017.0,15491.0,Manual,91000.0,Diesel,150.0,60.1,2.0
skoda, Fabia,2017.0,11995.0,Manual,23968.0,Petrol,145.0,64.2,1.0
audi, A3,2019.0,25490.0,Automatic,750.0,Diesel,145.0,52.3,1.6
vw, Polo,2017.0,11199.0,Manual,32350.0,Petrol,150.0,60.1,1.2
vauxhall, Mokka X,2017.0,10495.0,Manual,27463.0,Petrol,145.0,47.1,1.4
merc, E Class,2019.0,25899.0,Semi-Auto,4997.0,Diesel,145.0,72.4,2.0
vauxhall, Astra,2017.0,9222.0,Manual,27000.0,Petrol,125.0,51.4,1.4
bmw, 1 Series,2016.0,10250.0,Manual,68332.0,Diesel,20.0,68.9,2.0
hyundi, I800,2019.0,19000.0,Automatic,14674.0,Diesel,145.0,31.7,2.5
bmw, 5 Series,2015.0,12990.0,Automatic,86000.0,Diesel,160.0,51.4,3.0
hyundi, Santa Fe,2015.0,16990.0,Semi-Auto,46045.0,Diesel,265.0,42.2,2.2
merc, CL Class,2017.0,18999.0,Automatic,35673.0,Diesel,145.0,67.3,2.1
ford, Mondeo,2017.0,15695.0,Automatic,36000.0,Petrol,235.0,38.2,2.0
audi, Q7,2018.0,53999.0,Semi-Auto,21100.0,Diesel,150.0,39.2,4.0
audi, Q5,2016.0,18450.0,Automatic,49450.0,Diesel,200.0,47.1,2.0
ford, Focus,2019.0,16000.0,Automatic,5367.0,Petrol,150.0,50.4,1.0
skoda, Kamiq,2020.0,21750.0,Semi-Auto,2500.0,Petrol,145.0,43.5,1.5
unclean focus, Focus,2018.0,13500.0,Manual,11382.0,Petrol,145.0,54.3,1.6
unclean cclass, C Class,2014.0,15999.0,Semi-Auto,31273.0,29,145.0,54.3,1.6
unclean cclass, C Class,2019.0,19849.0,Semi-Auto,14084.0,Petrol,145.0,54.3,1.6
focus, Focus,2017.0,11202.0,Manual,26500.0,Petrol,145.0,54.3,1.0
vauxhall, Astra,2014.0,5698.0,Manual,53011.0,Petrol,160.0,44.1,1.6
bmw, 1 Series,2019.0,28500.0,Semi-Auto,9058.0,Diesel,150.0,51.4,2.0
hyundi, I30,2015.0,8498.0,Manual,20662.0,Petrol,145.0,48.7,1.4
unclean cclass, C Class,2019.0,28250.0,Automatic,3477.0,Diesel,145.0,54.3,1.6
unclean focus, Focus,2018.0,14500.0,Automatic,22587.0,Petrol,145.0,54.3,1.0
ford, Kuga,2017.0,15500.0,Manual,23735.0,Diesel,150.0,64.2,1.5
audi, A3,2016.0,11998.0,Manual,31952.0,Diesel,0.0,83.1,1.6
merc, C Class,2019.0,25949.0,Semi-Auto,12582.0,Diesel,145.0,61.4,2.0
unclean focus, Focus,2016.0,10337.0,Manual,23126.0,Diesel,145.0,54.3,1.6
vw, Sharan,2019.0,22490.0,Manual,15672.0,Diesel,145.0,43.5,2.0
unclean focus, Focus,2019.0,16125.0,Manual,1388.0,Petrol,145.0,54.3,1.6
merc, SL CLASS,2020.0,39995.0,Semi-Auto,250.0,Petrol,145.0,35.8,2.0
merc, C Class,2019.0,29899.0,Semi-Auto,8601.0,Diesel,145.0,57.7,2.0
hyundi, Tucson,2016.0,12498.0,Manual,21037.0,Diesel,30.0,61.7,1.7
toyota, Verso,2016.0,12495.0,Semi-Auto,36318.0,Petrol,160.0,43.5,1.8
unclean focus, Focus,2020.0,22000.0,Manual,50.0,Petrol,145.0,54.3,1.6
vauxhall, Astra,2017.0,10395.0,Manual,18000.0,Petrol,125.0,51.4,1.4
cclass, C Class,2016.0,18249.0,Automatic,36077.0,Diesel,145.0,54.3,2.1
merc, GLE Class,2016.0,28950.0,Semi-Auto,33129.0,Diesel,260.0,42.8,3.0
hyundi, Tucson,2019.0,17995.0,Manual,11341.0,Petrol,145.0,34.9,1.6
ford, Fiesta,2014.0,5950.0,Manual,64327.0,Diesel,0.0,76.4,1.5
unclean cclass, C Class,2015.0,11990.0,Manual,75920.0,30,145.0,54.3,2143.0
unclean focus, Focus,2017.0,10500.0,Manual,30933.0,Petrol,145.0,54.3,1.6
vw, T-Cross,2020.0,20999.0,Manual,1711.0,Petrol,145.0,47.9,1.0
vw, Golf,2018.0,23290.0,Manual,755.0,Petrol,145.0,43.5,2.0
vauxhall, Mokka X,2017.0,13321.0,Automatic,12941.0,Petrol,160.0,43.5,1.4
vw, Passat,2019.0,18989.0,Manual,5919.0,Petrol,145.0,45.6,1.5
ford, Fiesta,2018.0,11900.0,Manual,10549.0,Petrol,145.0,65.7,1.0
skoda, Superb,2017.0,14498.0,Semi-Auto,19674.0,Diesel,145.0,70.6,1.6
unclean focus, Focus,2018.0,18500.0,Manual,12135.0,26,145.0,54.3,1.6
bmw, 4 Series,2015.0,17899.0,Automatic,23413.0,Petrol,235.0,38.2,3.0
bmw, X3,2019.0,33980.0,Semi-Auto,1962.0,Diesel,150.0,54.3,2.0
toyota, Yaris,2017.0,12495.0,Automatic,8807.0,Hybrid,0.0,86.0,1.5
merc, A Class,2019.0,19990.0,Semi-Auto,9191.0,Petrol,145.0,53.3,1.3
unclean cclass, C Class,2019.0,23948.0,Automatic,16496.0,Petrol,145.0,54.3,1.6
merc, C Class,2014.0,16450.0,Automatic,41000.0,Diesel,30.0,64.2,2.1
unclean focus, Focus,2015.0,9000.0,Manual,22331.0,11,145.0,54.3,1.6
ford, Fiesta,2016.0,7998.0,Manual,16070.0,Petrol,125.0,54.3,1.2
vauxhall, Insignia,2019.0,21995.0,Manual,23.0,Diesel,145.0,49.6,2.0
ford, Focus,2017.0,12990.0,Manual,4883.0,Petrol,20.0,60.1,1.0
focus, Focus,2018.0,13899.0,Manual,14563.0,Diesel,145.0,54.3,1.5
toyota, Aygo,2019.0,9790.0,Manual,3500.0,Petrol,145.0,56.5,1.0
ford, KA,2017.0,8600.0,Manual,10631.0,Petrol,150.0,57.7,1.2
skoda, Fabia,2016.0,7895.0,Manual,27003.0,Petrol,20.0,60.1,1.2
merc, A Class,2019.0,23980.0,Automatic,6945.0,Petrol,150.0,28.5,1.3
unclean focus, Focus,2019.0,17990.0,Automatic,3289.0,Diesel,145.0,54.3,1.6
vauxhall, Insignia,2018.0,11758.0,Manual,41657.0,Petrol,150.0,47.1,1.5
unclean cclass, C Class,2019.0,29290.0,Semi-Auto,4703.0,Diesel,145.0,54.3,1.6
merc, E Class,2017.0,19395.0,Semi-Auto,22767.0,Diesel,145.0,72.4,2.0
ford, Kuga,2017.0,17498.0,Manual,22439.0,Diesel,145.0,54.3,2.0
unclean cclass, C Class,2019.0,20199.0,Semi-Auto,11381.0,Petrol,145.0,54.3,1.6
vauxhall, Astra,2017.0,10500.0,Manual,18423.0,Petrol,125.0,51.4,1.4
bmw, 3 Series,2019.0,25000.0,Semi-Auto,3932.0,Diesel,145.0,62.8,2.0
toyota, C-HR,2018.0,23495.0,Automatic,11882.0,Hybrid,135.0,74.3,1.8
vauxhall, Zafira,2016.0,10499.0,Manual,43961.0,Petrol,200.0,42.2,1.4
vauxhall, Astra,2018.0,12500.0,Manual,27303.0,Petrol,145.0,51.4,1.4
merc, A Class,2020.0,26495.0,Semi-Auto,1700.0,Diesel,145.0,56.5,2.0
merc, C Class,2017.0,24000.0,Semi-Auto,24035.0,Petrol,165.0,43.5,2.0
ford, Focus,2015.0,9000.0,Manual,22331.0,Petrol,20.0,61.4,1.0
toyota, Yaris,2018.0,13488.0,Automatic,5886.0,Hybrid,135.0,76.3,1.5
skoda, Octavia,2019.0,23998.0,Semi-Auto,10.0,Petrol,145.0,47.9,2.0
toyota, Auris,2017.0,15694.0,Automatic,8613.0,Hybrid,135.0,78.5,1.8
vauxhall, Meriva,2016.0,7995.0,Automatic,42930.0,Petrol,235.0,39.8,1.4
skoda, Octavia,2019.0,14898.0,Semi-Auto,14457.0,Diesel,145.0,70.6,1.6
vauxhall, Corsa,2018.0,8499.0,Manual,10793.0,Petrol,145.0,55.4,1.4
cclass, C Class,2019.0,19749.0,Semi-Auto,14619.0,Petrol,145.0,54.3,1.5
skoda, Fabia,2017.0,6995.0,Manual,25588.0,Petrol,145.0,64.2,1.0
hyundi, Tucson,2018.0,16495.0,Semi-Auto,33500.0,Diesel,145.0,57.7,1.7
ford, Focus,2018.0,13491.0,Manual,15919.0,Petrol,145.0,57.7,1.0
ford, Fiesta,2017.0,7710.0,Manual,23644.0,Petrol,145.0,65.7,1.0
vw, Amarok,2018.0,27295.0,Automatic,6200.0,Diesel,260.0,36.2,3.0
toyota, Yaris,2019.0,12000.0,Manual,6256.0,Petrol,145.0,47.9,1.5
ford, Focus,2017.0,12250.0,Manual,12548.0,Petrol,145.0,61.4,1.0
ford, Tourneo Connect,2019.0,20000.0,Manual,1390.0,Diesel,145.0,61.4,1.5
cclass, C Class,2019.0,34790.0,Automatic,3000.0,Diesel,145.0,54.3,2.0
audi, A5,2013.0,15900.0,Semi-Auto,29323.0,Petrol,160.0,39.2,2.0
focus, Focus,2018.0,12000.0,Manual,11300.0,Petrol,145.0,54.3,1.0
unclean focus, Focus,2018.0,15475.0,Automatic,15751.0,Diesel,145.0,54.3,1.6
merc, GL Class,2015.0,17399.0,Automatic,23117.0,Diesel,125.0,55.4,2.1
unclean focus, Focus,2017.0,10390.0,Manual,30261.0,Diesel,145.0,54.3,1.6
ford, Fiesta,2020.0,14950.0,Manual,100.0,Petrol,145.0,56.5,1.0
unclean focus, Focus,2019.0,16495.0,Manual,7820.0,Petrol,145.0,54.3,1.6
ford, Fiesta,2017.0,10300.0,Manual,20914.0,Petrol,0.0,65.7,1.0
audi, Q7,2019.0,47555.0,Automatic,14495.0,Diesel,145.0,32.8,3.0
audi, A3,2014.0,10800.0,Manual,44015.0,Diesel,20.0,67.3,2.0
vw, CC,2016.0,12950.0,Semi-Auto,24500.0,Diesel,125.0,58.9,2.0
audi, A5,2019.0,24990.0,Automatic,2650.0,Diesel,150.0,67.3,2.0
ford, Focus,2019.0,19300.0,Manual,2958.0,Diesel,145.0,70.6,2.0
vw, Touran,2016.0,13498.0,Manual,43970.0,Diesel,30.0,64.2,1.6
unclean cclass, C Class,2019.0,24980.0,Semi-Auto,7043.0,Petrol,145.0,54.3,1.6
vauxhall, Mokka X,2018.0,11990.0,Manual,13076.0,Petrol,145.0,39.2,1.4
skoda, Octavia,2017.0,11994.0,Manual,30159.0,Diesel,145.0,67.3,1.6
cclass, C Class,2019.0,28990.0,Automatic,5000.0,Petrol,145.0,54.3,1.6
audi, A3,2014.0,10202.0,Manual,34250.0,Petrol,30.0,55.4,1.4
vauxhall, Corsa,2016.0,6995.0,Manual,30042.0,Petrol,0.0,65.7,1.0
audi, A3,2019.0,24425.0,Semi-Auto,8424.0,Diesel,150.0,50.4,2.0
hyundi, I30,2013.0,4995.0,Manual,71271.0,Petrol,145.0,47.1,1.4
hyundi, Tucson,2018.0,15190.0,Manual,8557.0,Petrol,145.0,44.8,1.6
audi, A3,2016.0,12900.0,Semi-Auto,30999.0,Diesel,30.0,64.2,2.0
bmw, 2 Series,2017.0,11990.0,Manual,22000.0,Petrol,145.0,52.3,1.5
hyundi, I20,2020.0,12995.0,Manual,3000.0,Petrol,145.0,46.3,1.2
toyota, Aygo,2017.0,7295.0,Manual,32000.0,Petrol,150.0,68.9,1.0
focus, Focus,2017.0,10999.0,Manual,25331.0,Petrol,145.0,54.3,1.0
vauxhall, Corsa,2018.0,7590.0,Manual,16002.0,Petrol,145.0,55.4,1.4
bmw, 4 Series,2019.0,28295.0,Semi-Auto,8235.0,Petrol,145.0,48.7,2.0
bmw, X2,2020.0,39991.0,Semi-Auto,700.0,Petrol,145.0,34.0,2.0
merc, A Class,2019.0,22980.0,Semi-Auto,11464.0,Diesel,145.0,67.3,1.5
ford, Fiesta,2015.0,6999.0,Manual,34772.0,Petrol,125.0,54.3,1.2
skoda, Superb,2019.0,25995.0,Automatic,611.0,Petrol,145.0,38.2,2.0
merc, C Class,2013.0,11995.0,Automatic,40000.0,Diesel,145.0,53.3,2.1
audi, A4,2017.0,16380.0,Manual,38331.0,Diesel,20.0,68.9,2.0
audi, Q2,2020.0,27591.0,Semi-Auto,4455.0,Diesel,150.0,44.8,2.0
hyundi, I30,2018.0,9998.0,Manual,12130.0,Petrol,145.0,57.7,1.0
ford, Kuga,2019.0,21200.0,Manual,5596.0,Petrol,145.0,35.3,1.5
vauxhall, Astra,2017.0,12495.0,Semi-Auto,6000.0,Petrol,145.0,51.4,1.4
ford, Kuga,2017.0,15250.0,Manual,46800.0,Diesel,150.0,54.3,2.0
ford, Fiesta,2017.0,10000.0,Manual,22000.0,Petrol,150.0,65.7,1.0
bmw, 2 Series,2017.0,17110.0,Semi-Auto,34032.0,Diesel,145.0,65.7,2.0
vw, Polo,2017.0,10100.0,Manual,26000.0,Petrol,145.0,60.1,1.2
skoda, Octavia,2018.0,12498.0,Manual,20955.0,Diesel,145.0,68.9,1.6
skoda, Octavia,2017.0,11700.0,Semi-Auto,27476.0,Diesel,0.0,74.3,1.6
bmw, 5 Series,2016.0,14300.0,Automatic,67530.0,Diesel,30.0,62.8,2.0
audi, A7,2017.0,25790.0,Automatic,40763.0,Diesel,160.0,52.3,3.0
bmw, 1 Series,2016.0,8495.0,Manual,83830.0,Diesel,20.0,72.4,1.5
vw, Arteon,2019.0,26498.0,Manual,50.0,Diesel,145.0,52.3,2.0
audi, A4,2017.0,18390.0,Semi-Auto,54421.0,Diesel,30.0,61.4,2.0
vw, Polo,2018.0,13099.0,Manual,13239.0,Petrol,145.0,52.3,1.0
vw, Scirocco,2016.0,13495.0,Manual,42038.0,Diesel,30.0,53.3,2.0
